cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
fcb9c424-9c79-4676-9d43-c1bcf63c3eb9	TCGA-DC-4745-01A	TCGA-DC-4745	afdad23b-73a0-4cc2-8fa7-692d8f0908f8.FPKM-UQ.txt.gz	c0a24540-8121-4cfc-8def-d5723156dc84
dc23bafb-2cfb-4c1b-9e66-b9cab22ae855	TCGA-AZ-6601-01A	TCGA-AZ-6601	c3f9ba64-6946-45d4-984d-b33ef2589603.FPKM-UQ.txt.gz	545a99f3-8756-4773-8888-d76c1dbd033a
0d1b5f70-169a-415f-93f3-efe0ccc0e4c7	TCGA-CM-6165-01A	TCGA-CM-6165	020aa019-a3a4-4055-92ee-be824a597501.FPKM.txt.gz	48c89ece-42f8-4455-9dd3-4c55f0a9021f
25d55cf4-625f-485f-85aa-87adb72e685b	TCGA-AZ-6606-01A	TCGA-AZ-6606	4cf333ec-bd88-4349-9c72-ee06d32e8cd2.FPKM-UQ.txt.gz	6b559522-e390-40cb-9f61-f55c86bade1b
81505915-6c01-4299-ae89-964dc20d93cb	TCGA-A6-2671-01A	TCGA-A6-2671	d15c1117-5ccd-47da-bb0a-51e5a71535ff.FPKM-UQ.txt.gz	e09d2391-532d-4794-8abe-436b874a4ef8
4f4d9529-09e0-4a0d-8a9f-0060b643444d	TCGA-G4-6294-01A	TCGA-G4-6294	00106523-5b1d-44ad-a9f1-7d84db08722c.FPKM.txt.gz	b4803332-4f6f-4fb8-87c9-1e3da4c76cce
32fc9332-a9fd-47f6-9dee-6413e58e8cce	TCGA-A6-6137-01A	TCGA-A6-6137	0cb305a5-d4a7-4eb8-8e8e-d11a5ebc3e0f.FPKM-UQ.txt.gz	de4a6c38-d240-4bf1-ac94-07188fed9f2e
198cf746-6749-487f-a097-dd098a70949c	TCGA-CK-4950-01A	TCGA-CK-4950	28004569-048d-4f8c-99aa-7a8c69a98dcc.htseq.counts.gz	02734d4d-fc8f-4ef7-ac82-1b4d7184cc5e
63291336-7277-4b3c-9ca6-658636bce3ad	TCGA-AF-6672-01A	TCGA-AF-6672	b8b7ab76-be8a-4bfb-a931-b9767af9cd1d.FPKM.txt.gz	3990bcb9-0cd8-4ea7-94e8-d603912fa248
3d94ac12-8ca5-4894-b56f-56ff0102053b	TCGA-AG-4022-01A	TCGA-AG-4022	245b64cc-ee6c-403b-becf-77e558253fcf.FPKM.txt.gz	97f9d55d-4364-4567-be65-3a17151b7fa7
63291336-7277-4b3c-9ca6-658636bce3ad	TCGA-AF-6672-01A	TCGA-AF-6672	b8b7ab76-be8a-4bfb-a931-b9767af9cd1d.htseq.counts.gz	0aa73120-49bb-4ebd-8cff-1680aaeacc1f
af0b8dea-5c72-4711-be97-858ab61ea76d	TCGA-AF-A56L-01A	TCGA-AF-A56L	7b9444ad-b7fb-4032-9109-8c2b7ab160a6.FPKM.txt.gz	fcef199e-f28a-4bfc-9730-bf46c84d82cf
3d94ac12-8ca5-4894-b56f-56ff0102053b	TCGA-AG-4022-01A	TCGA-AG-4022	245b64cc-ee6c-403b-becf-77e558253fcf.htseq.counts.gz	47079154-021a-4edf-aa4f-6f339d0dc9cd
6839316d-c22d-49a3-ad47-91584d584e83	TCGA-CI-6621-01A	TCGA-CI-6621	0f5dfd08-9300-4d9a-b9fe-04bf86c9b743.FPKM.txt.gz	3813f155-b324-4020-a68f-48f17a986f50
a2a2cebf-3e82-4f0c-846d-3dcfd10a5628	TCGA-CL-5917-01A	TCGA-CL-5917	7318b77d-4f35-4707-903a-5f23337848be.htseq.counts.gz	915a67a7-72af-4ae8-8e1d-37c1cc96e0d8
2a026fc7-d5fd-4471-b1cb-d1daa31b6443	TCGA-F5-6813-01A	TCGA-F5-6813	fe37ce60-8639-440d-892f-f3ab59f44949.FPKM.txt.gz	31095c96-4f70-4815-b802-9d9ba1ad9c13
c5ac5111-575a-4084-ab76-86e87cc7a9b0	TCGA-DC-6156-01A	TCGA-DC-6156	f042c745-5531-4011-b868-0729d28c1ea8.FPKM.txt.gz	4a5d3382-7f15-40ae-874b-eebf98395a0d
37bb8ce7-6c55-4237-a7ad-adc42e6ff6a8	TCGA-EI-6917-01A	TCGA-EI-6917	8abb55cb-7c9b-484f-9333-bf52deee1ae8.FPKM-UQ.txt.gz	c0fe855c-e0dc-43f5-b909-9569d161dcbb
f52423c2-7780-4470-8e27-5982201ccb83	TCGA-AG-3902-01A	TCGA-AG-3902	3376ed7a-1ebd-4727-9be4-816142268384.htseq.counts.gz	db79c10d-a1b5-465c-bd8d-c38a80078704
1bc6365d-f855-4f72-ac54-d343212a2014	TCGA-AF-A56N-01A	TCGA-AF-A56N	ea125ffd-7776-49bc-bf73-47a3edcc81bd.FPKM.txt.gz	94b1feda-87a1-4566-958d-b968f190ab06
0c55b3b3-4008-4dbe-9a6a-bd0a5e13feae	TCGA-AH-6644-01A	TCGA-AH-6644	5f3a025d-0777-49a5-b2bb-750587635b50.FPKM.txt.gz	a562a411-2e1a-46d2-bdce-99a0fa5dd0fb
4322301d-24aa-4a69-b3b8-b694733e136f	TCGA-AF-3400-11A	TCGA-AF-3400	cbed723d-d16e-41df-bb92-3bebbbf638ec.FPKM-UQ.txt.gz	88c2d611-85d5-474c-b960-55a6a7861d89
021bd9eb-be6d-4493-8b45-11946e45b43f	TCGA-DY-A1H8-01A	TCGA-DY-A1H8	d1568c45-efd0-4f11-85f3-4df20837c6ad.htseq.counts.gz	a8f5011b-c4ca-4861-ac4d-4a6bc2307d86
e00ba2f0-aa08-4fe7-8868-59affd52eec5	TCGA-AA-3520-01A	TCGA-AA-3520	96f97dd0-3c7a-4a8c-a165-9ab14c9fcef6.htseq.counts.gz	30110693-1f69-4030-bcde-4328a0a4e6b1
445d5e8c-db8d-44f4-b3d0-d1857cb2ef48	TCGA-CM-5860-01A	TCGA-CM-5860	6f4f4e5d-d81e-402e-859f-3ee580a8bbde.FPKM-UQ.txt.gz	3dde616c-a6a9-4c6f-8dfa-37b0a8c03991
59a3ebb6-0bc0-4790-99bf-3caf74cb5c6e	TCGA-CM-5349-01A	TCGA-CM-5349	ca75e00b-f5e2-4904-a53b-36a1314e8e86.htseq.counts.gz	dc0e73f1-f148-4df1-b4b8-b98acb317938
bbb4b282-5414-4929-a9f6-08b733d14fa7	TCGA-F4-6569-01A	TCGA-F4-6569	d7b9a594-2898-446b-a234-60f8ca8064a0.FPKM-UQ.txt.gz	de14a00a-5e70-44f5-8ad6-b77efeea735a
6c4dbbe4-7f58-4de2-9aaf-a6d87170870a	TCGA-A6-5662-11A	TCGA-A6-5662	f1fcd165-ddbc-44b8-b062-ae5199c53cba.htseq.counts.gz	def07c32-2609-4dc0-bc70-49e4ea9fc60c
115e6be9-dd9a-4137-8a5c-821ff7860a8f	TCGA-F4-6461-01A	TCGA-F4-6461	2d5fbcf8-4347-4787-b04d-e84c88316776.FPKM-UQ.txt.gz	9c2768dd-3a75-4b25-843d-33ba82f6c5df
b0a269f6-ecea-4239-89f6-e9128d76ccb0	TCGA-AA-3511-11A	TCGA-AA-3511	18ded814-596a-46ed-8f58-ba4141e5abb6.FPKM-UQ.txt.gz	a96ceaa2-b5a0-4855-a2d9-a7f1f34d012e
08003f93-05c8-40ed-95dc-16abf83b1e43	TCGA-AD-6963-01A	TCGA-AD-6963	ddc5dfb2-e7e4-4159-930e-120c7d2a8640.FPKM.txt.gz	9a0b6c46-3cb1-4b71-a708-c7a013d03e8f
ec9fc2bb-859d-4a11-8a12-e109075eff8c	TCGA-A6-2684-01C	TCGA-A6-2684	29dab10a-a0a0-4dbd-b574-97c22b70a3f1.FPKM.txt.gz	99000a63-24f0-49ef-81a3-c7fe52397444
c281d8eb-0aaf-409c-b8d1-5681c8dc27be	TCGA-D5-6927-01A	TCGA-D5-6927	789db3c8-c5cd-428d-aaef-e3f60c40bc9a.FPKM-UQ.txt.gz	2604903c-4af0-4172-84a6-335e1e662acf
e7390b8c-fc12-43f1-8c94-f5daf0d186f7	TCGA-CM-5862-01A	TCGA-CM-5862	27af8811-03a1-43e5-8a42-8acf158e3e13.FPKM.txt.gz	cbd9eff3-00c9-4f49-80d1-a74bdd573943
00624b80-d2e0-4669-bf09-3e12be601e2d	TCGA-AH-6897-01A	TCGA-AH-6897	88439d95-9798-401a-a8c6-da6d529b180f.FPKM.txt.gz	a008706f-f314-4f2a-8e5e-0625f66c1864
086f3f8f-1ad5-4d44-805b-fa029ec916c5	TCGA-DC-6683-01A	TCGA-DC-6683	a95832f5-fbd1-482c-951d-8bb37fa02a4c.htseq.counts.gz	486a9416-2523-4d78-a2a3-19be06d66052
dbfd6ef5-8072-4462-82b4-280a0b658323	TCGA-G5-6233-01A	TCGA-G5-6233	bbd48dd3-0d7c-45ee-8ce2-ff359e6d1234.htseq.counts.gz	ef1aebd7-cf03-4d74-897a-e945166ef08f
eddf9f22-bad7-4563-915c-99e2405fb79c	TCGA-DC-6157-01A	TCGA-DC-6157	c74bce4e-18cd-42af-ae4c-9bb423efa9f9.FPKM.txt.gz	4ff9e5b5-a217-439e-a044-320c7fad6c7e
f3b63187-eeba-40e4-b630-d5b534037b33	TCGA-EI-6506-01A	TCGA-EI-6506	857c670d-8322-4648-a3de-8279a9d015b7.FPKM-UQ.txt.gz	442fcba7-8d6c-4a67-8723-543353f8e5fa
833678a6-4723-4a28-9470-d3d94f169828	TCGA-AF-2689-11A	TCGA-AF-2689	f0a04747-87cb-4c5f-9916-3651b633189a.FPKM-UQ.txt.gz	6fd06f02-0dac-46a9-9c19-1ceeff8e4382
949da28b-f59c-4a7a-aec1-a2581588121b	TCGA-F5-6571-01A	TCGA-F5-6571	09d6c070-3a3a-4e47-b7e1-0c220266efaf.FPKM-UQ.txt.gz	a06acad7-8ff3-4a6f-b5a8-475c17dc60af
086f3f8f-1ad5-4d44-805b-fa029ec916c5	TCGA-DC-6683-01A	TCGA-DC-6683	a95832f5-fbd1-482c-951d-8bb37fa02a4c.FPKM.txt.gz	ac8dbd5d-3591-42a5-ae28-734e80ef23fb
